Year;all_Total;all_Male;all_Female;white_Total;white_Male;white_Female;whiteAlone_Total;whiteAlone_Male;whiteAlone_Female;black_Total;black_Male;black_Female;asian_Total;asian_Male;asian_Female;hispanic_Total;hispanic_Male;hispanic_Female;whiteCombi_Total;whiteCombi_Male;whiteCombi_Female;notWhiteCombi_Total;notWhiteCombi_Male;notWhiteCombi_Female;blackCombi_Total;blackCombi_Male;blackCombi_Female;asianCombi_Total;asianCombi_Male;asianCombi_Female
2022;37,7;36,2;39;37,9;36,4;39,3;41,8;40,6;43;27,6;24,6;30,1;59,3;61,7;57,1;20,9;18,9;22,9;37,8;36,3;39,2;41,7;40,4;43;27,8;24,7;30,4;58,8;60,7;57,1
2021;37,9;36,6;39,1;37,9;36,6;39,1;41,9;40,8;42,9;28,1;24,9;30,8;61,0;63,5;58,9;20,6;18,9;22,3;37,9;36,6;39,1;41,8;40,7;42,9;28,3;25,3;30,9;60,7;62,6;59,0
2020;37,5;36,7;38,3;37,5;36,8;38,2;41,3;41,0;41,7;27,8;24,7;30,5;61,1;63,0;59,4;20,8;19,4;22,3;37,4;36,7;38,2;41,2;40,8;41,6;28,1;24,9;30,8;60,3;61,6;59,1
2019;36,0;35,4;36,6;36,3;35,7;36,8;40,1;39,9;40,3;26,1;24,1;27,7;58,1;60,4;56,1;18,8;16,9;20,8;36,2;35,5;36,8;40,0;39,8;40,2;26,3;24,3;28,0;57,7;59,6;56,0
2018;35,0;34,6;35,3;35,2;34,9;35,5;38,8;38,9;38,8;25,2;23,2;26,9;56,5;59,3;54,0;18,3;16,6;20,1;35,1;34,7;35,5;38,7;38,8;38,7;25,4;23,2;27,1;56,0;58,6;53,7
2017;34,2;33,7;34,6;34,5;34,0;35,0;38,1;37,8;38,3;23,9;22,1;25,4;54,8;56,6;53,2;17,2;15,8;18,6;34,4;33,9;34,9;38,0;37,8;38,3;24,2;22,3;25,7;54,4;55,9;53,2
2016;33,4;33,2;33,7;33,7;33,4;34,0;37,3;37,2;37,3;23,3;21,7;24,6;55,9;58,8;53,4;16,4;15,4;17,4;33,6;33,3;33,9;37,2;37,1;37,3;23,5;21,8;24,9;55,4;57,9;53,3
2015;32,5;32,3;32,7;32,8;32,6;32,9;36,2;36,3;36,1;22,5;20,6;24,0;53,9;56,8;51,5;15,5;14,3;16,6;32,7;32,5;32,9;36,2;36,2;36,1;22,7;20,7;24,2;53,7;56,2;51,5
2014;32,0;31,9;32,0;32,3;32,3;32,3;35,6;35,9;35,3;22,2;20,4;23,7;52,3;54,7;50,3;15,2;14,2;16,1;32,2;32,2;32,3;35,5;35,8;35,3;22,7;20,6;24,3;52,2;54,2;50,4
2013;31,7;32,0;31,4;32,0;32,4;31,6;35,2;36,0;34,4;21,8;19,8;23,3;53,2;56,1;50,8;15,1;13,9;16,2;31,9;32,3;31,5;35,1;35,9;34,4;22,0;20,0;23,6;52,8;55,5;50,5
2012;30,9;31,4;30,6;31,3;31,9;30,8;34,5;35,5;33,5;21,2;19,2;22,9;51,0;53,7;48,8;14,5;13,3;15,8;31,2;31,8;30,7;34,4;35,4;33,4;21,4;19,4;22,9;50,4;52,6;48,6
2011;30,4;30,8;30,1;31,0;31,5;30,5;34,0;35,0;33,1;19,9;18,0;21,4;50,3;53,4;47,7;14,1;13,1;15,2;30,9;31,4;30,5;33,9;34,9;33,1;20,1;18,2;21,6;49,9;52,8;47,3
2010;29,9;30,3;29,6;30,3;30,8;29,9;33,2;34,2;32,4;19,8;17,7;21,4;52,4;55,6;49,5;13,9;12,9;14,9;30,2;30,7;29,8;33,2;34,1;32,3;19,9;17,7;21,6;51,8;54,7;49,3
2009;29,5;30,1;29,1;29,9;30,6;29,3;32,9;33,9;31,9;19,3;17,8;20,6;52,3;55,7;49,3;13,2;12,5;14,0;29,8;30,4;29,3;32,8;33,8;31,8;19,4;17,8;20,7;51,8;54,8;49,2
2008;29,4;30,1;28,8;29,8;30,5;29,1;32,6;33,8;31,5;19,6;18,7;20,4;52,6;55,8;49,8;13,3;12,6;14,1;29,7;30,3;29,0;32,5;33,6;31,4;19,8;18,8;20,5;52,0;54,6;49,8
2007;28,7;29,5;28,0;29,1;29,9;28,3;31,8;33,2;30,6;18,5;18,0;19,0;52,1;55,2;49,3;12,7;11,8;13,7;29,0;29,8;28,3;31,7;33,0;30,5;18,7;18,2;19,1;47,1;49,1;45,4
2006;28,0;29,2;26,9;28,4;29,7;27,1;31,0;32,8;29,3;18,5;17,2;19,4;49,7;52,5;47,1;12,4;11,9;12,9;28,3;29,6;27,0;30,8;32,6;29,2;18,7;17,4;19,7;49,0;51,4;46,8
