Year;all_Total;all_Male;all_Female;white_Total;white_Male;white_Female;whiteAlone_Total;whiteAlone_Male;whiteAlone_Female;black_Total;black_Male;black_Female;asian_Total;asian_Male;asian_Female;hispanic_Total;hispanic_Male;hispanic_Female;whiteCombi_Total;whiteCombi_Male;whiteCombi_Female;notWhiteCombi_Total;notWhiteCombi_Male;notWhiteCombi_Female;blackCombi_Total;blackCombi_Male;blackCombi_Female;asianCombi_Total;asianCombi_Male;asianCombi_Female
2022;39,6;35,1;44,1;40,1;35,2;45,1;45,5;40,1;51;28,3;24,7;31,7;70,5;70,2;70,9;25;21,3;28,9;39,8;34,9;44,8;45,1;39,8;50,7;28,1;24;31,8;68,5;68,8;68,2
2021;39,0;34,4;43,8;38,9;34,5;43,5;45,0;40,3;49,8;26,8;20,8;32,6;71,1;68,0;74,3;23,2;19,6;27,1;39,0;34,4;43,8;44,9;40,1;50,0;27,6;21,9;33,0;70,7;65,6;76,0
2020;39,2;34,7;43,8;39,1;34,6;43,9;44,6;39,2;50,1;27,9;23,3;32,3;71,0;68,4;73,5;24,9;22,9;27,0;38,9;34,2;43,9;44,1;38,6;49,8;28,2;23,0;33,1;68,3;64,3;72,4
2019;38,7;35,7;41,8;38,6;34,7;42,7;44,9;40,8;49,2;29,0;28,4;29,5;70,1;69,5;70,6;20,6;18,2;23,1;38,3;34,6;42,2;44,6;40,7;48,7;29,1;28,3;29,8;67,8;67,4;68,3
2018;37,0;33,2;40,8;37,9;33,6;42,4;43,5;38,8;48,4;22,3;18,6;25,7;69,5;68,3;70,8;20,7;18,4;23,2;37,5;33,2;42,0;43,1;38,4;47,9;22,0;18,0;25,5;67,5;66,3;68,7
2017;35,7;32,0;39,3;36,4;32,2;40,7;42,1;37,7;46,5;22,2;20,4;23,9;61,9;58,1;65,9;18,5;15,0;22,4;36,2;32,1;40,4;41,8;37,5;46,3;22,4;20,6;24,1;61,2;56,9;65,7
2016;36,1;32,7;39,5;37,0;33,6;40,5;42,9;39,5;46,3;22,7;20,2;25,0;64,7;60,3;68,8;18,7;16,2;21,5;36,7;33,2;40,4;42,5;38,9;46,1;22,9;20,1;25,4;63,2;58,3;67,8
2015;35,6;32,4;38,9;36,7;33,2;40,3;43,0;39,5;46,6;20,5;16,5;24,2;65,0;62,8;67,2;16,4;14,5;18,5;36,4;33,0;40,0;42,6;39,1;46,3;20,7;17,0;24,1;63,5;60,6;66,3
2014;34,0;30,9;37,2;34,8;31,6;38,2;40,8;37,7;43,9;21,5;19,5;23,4;61,7;56,3;66,5;15,1;12,4;18,3;34,5;31,2;38,0;40,6;37,4;43,8;21,4;18,7;23,9;60,0;54,4;65,3
2013;33,6;30,2;37,0;34,3;30,8;37,9;40,4;37,1;43,8;20,1;16,8;23,1;59,0;54,3;63,2;15,7;13,1;18,6;34,1;30,6;37,7;40,1;36,8;43,5;19,8;16,6;22,8;58,1;53,7;62,2
2012;33,5;29,8;37,2;33,7;29,9;37,6;39,8;36,0;43,6;22,7;18,5;26,2;60,8;56,8;64,5;14,8;12,5;17,4;33,5;29,8;37,4;39,6;35,9;43,4;22,8;18,1;27,0;59,6;55,7;63,4
2011;32,2;28,4;36,1;33,1;29,2;37,4;39,2;35,5;43,0;19,6;16,1;22,8;56,2;51,5;60,6;12,8;9,6;16,8;33,0;29,0;37,1;39,0;35,4;42,7;19,8;16,3;22,9;55,7;52,0;59,1
2010;31,7;27,8;35,7;32,7;28,8;37,0;38,6;34,8;42,4;19,0;14,8;22,9;55,4;52,0;58,6;13,5;10,8;16,8;32,6;28,6;36,8;38,4;34,6;42,3;19,3;14,8;23,5;53,7;49,6;57,6
2009;30,6;26,6;34,8;31,3;27,0;36,0;37,2;32,6;42,0;19,0;15,2;22,4;59,3;58,0;60,6;12,2;11,0;13,8;31,1;26,8;35,9;37,1;32,4;41,9;19,0;15,0;22,6;58,0;56,7;59,3
2008;30,8;26,8;34,9;31,1;26,7;35,9;37,1;32,6;41,7;20,6;18,7;22,3;59,4;55,1;63,5;12,4;10,0;15,5;31,0;26,6;35,8;36,9;32,4;41,5;20,9;19,3;22,3;57,4;52,9;61,8
2007;29,6;26,3;33,0;29,8;25,8;34,0;35,5;31,9;39,2;18,9;17,9;19,9;60,9;59,8;62,0;11,6;8,6;15,4;29,7;25,7;33,8;35,3;31,7;39,0;19,1;18,1;19,9;59,0;57,8;60,1
2006;28,4;25,3;31,6;28,3;25,0;31,7;34,3;31,4;37,2;18,6;14,9;21,6;60,9;59,8;61,9;9,5;6,8;12,8;28,1;24,8;31,6;34,1;31,2;37,0;18,9;15,0;22,3;59,4;58,4;60,5
2005;28,8;25,5;32,2;28,9;25,3;32,7;34,5;30,7;38,2;17,4;14,1;20,1;61,6;60,5;62,5;11,2;10,2;12,4;28,8;25,3;32,5;34,3;30,6;38,1;17,6;14,6;20,3;60,3;59,0;61,5
2004;28,7;26,1;31,4;28,9;25,8;32,1;34,5;31,4;37,5;16,9;13,4;19,7;61,4;62,0;60,9;10,9;9,6;12,4;28,7;25,7;31,8;34,2;31,2;37,2;16,8;13,4;19,5;59,9;61,1;58,9
2003;28,4;26,0;30,9;28,3;25,3;31,5;34,2;31,4;37,1;17,2;17,5;17,0;61,6;60,9;62,3;10,0;8,4;12,0;28,2;25,2;31,4;34,0;31,2;36,9;17,3;17,4;17,3;60,3;58,8;61,7
2002;29,3;26,9;31,8;29,7;26,5;33,1;35,9;32,6;39,2;17,5;17,4;17,7;N;N;N;8,9;8,3;9,7;N;N;N;N;N;N;N;N;N;N;N;N
2001;28,4;25,5;31,3;28,5;25,1;32,1;33,7;30,4;36,9;16,8;15,6;17,9;N;N;N;10,5;8,2;13,3;N;N;N;N;N;N;N;N;N;N;N;N
2000;29,1;27,9;30,1;29,6;27,8;31,3;34,0;32,3;35,8;17,5;18,1;17,0;N;N;N;9,7;8,3;11,0;N;N;N;N;N;N;N;N;N;N;N;N
1999;28,2;26,8;29,5;29,3;27,6;30,9;33,6;32,0;35,1;15,0;13,1;16,5;N;N;N;8,9;7,5;10,4;N;N;N;N;N;N;N;N;N;N;N;N
1998;27,3;25,6;29,0;28,4;26,5;30,4;32,3;30,5;34,2;15,8;14,2;17,0;N;N;N;10,4;9,5;11,3;N;N;N;N;N;N;N;N;N;N;N;N
1997;27,8;26,3;29,3;28,9;27,2;30,7;32,6;31,2;34,1;14,4;12,1;16,4;N;N;N;11,0;9,6;10,1;N;N;N;N;N;N;N;N;N;N;N;N
1996;27,1;26,1;28,2;28,1;27,2;29,1;31,6;30,9;32,3;14,6;12,4;16,4;N;N;N;10,0;10,2;9,8;N;N;N;N;N;N;N;N;N;N;N;N
1995;24,7;24,5;24,9;26,0;25,4;26,6;28,8;28,4;29,2;15,3;17,2;13,6;N;N;N;8,9;7,8;10,1;N;N;N;N;N;N;N;N;N;N;N;N
1994;23,3;22,5;24,0;24,2;23,6;24,8;27,1;26,8;27,4;13,7;11,7;15,4;N;N;N;8,0;6,6;9,8;N;N;N;N;N;N;N;N;N;N;N;N
1993;23,7;23,4;23,9;24,7;24,4;25,1;27,2;27,2;27,1;13,2;12,6;13,8;N;N;N;8,3;7,1;9,8;N;N;N;N;N;N;N;N;N;N;N;N
1992;23,6;23,2;24,0;25,0;24,2;25,7;N;N;N;11,3;12,0;10,6;N;N;N;9,5;8,8;10,3;N;N;N;N;N;N;N;N;N;N;N;N
1991;23,2;23,0;23,4;24,6;24,1;25,0;N;N;N;11,0;11,5;10,6;N;N;N;9,2;8,1;10,4;N;N;N;N;N;N;N;N;N;N;N;N
1990;23,2;23,7;22,8;24,2;24,2;24,3;N;N;N;13,4;15,1;11,9;N;N;N;8,1;7,3;9,1;N;N;N;N;N;N;N;N;N;N;N;N
