Year;all_Total;all_Male;all_Female;white_Total;white_Male;white_Female;whiteAlone_Total;whiteAlone_Male;whiteAlone_Female;black_Total;black_Male;black_Female;asian_Total;asian_Male;asian_Female;hispanic_Total;hispanic_Male;hispanic_Female;whiteCombi_Total;whiteCombi_Male;whiteCombi_Female;notWhiteCombi_Total;notWhiteCombi_Male;notWhiteCombi_Female;blackCombi_Total;blackCombi_Male;blackCombi_Female;asianCombi_Total;asianCombi_Male;asianCombi_Female
2022;94,6;93,9;95,2;94,4;93,8;95;96,6;96,4;96,8;95;94,2;95,7;98,9;99,5;98,4;88;86;90;94,2;93,5;95;96,6;96,3;96,8;94,8;94,3;95,3;98,5;99,3;97,8
2021;94,3;93,6;95,1;94,3;93,2;95,3;96,4;95,8;97,1;94,1;94,1;94,0;97,6;97,4;97,9;88,5;86,6;90,5;94,2;93,2;95,2;96,4;95,7;97,0;94,0;94,2;93,8;97,6;97,6;97,6
2020;94,8;94,6;94,9;94,7;94,7;94,7;96,4;96,3;96,6;94,9;94,0;95,9;96,6;96,2;97,1;89,9;90,4;89,3;94,6;94,7;94,6;96,3;96,3;96,3;94,7;93,9;95,4;96,3;96,1;96,5
2019;93,5;92,7;94,3;93,8;93,3;94,2;96,3;96,2;96,4;91,0;88,9;93,0;97,0;97,0;97,1;86,4;84,6;88,4;93,8;93,3;94,3;96,3;96,2;96,4;91,4;89,3;93,4;96,7;96,2;97,2
2018;92,9;91,9;94,0;92,9;91,7;94,1;95,6;95,0;96,3;92,0;90,7;93,1;97,5;97,6;97,4;85,2;83,4;87,2;92,9;91,7;94,1;95,6;94,9;96,2;92,2;90,8;93,4;97,5;97,6;97,5
2017;92,5;91,5;93,4;92,4;91,2;93,7;95,6;94,8;96,4;91,8;91,2;92,4;96,8;97,7;95,9;82,7;80,7;84,8;92,3;91,2;93,5;95,6;94,8;96,3;91,8;90,9;92,6;96,9;97,9;95,9
2016;91,7;90,9;92,5;91,6;90,6;92,7;95,2;94,8;95,7;90,6;90,8;90,4;96,5;95,9;97,1;80,6;78,3;83,2;91,7;90,7;92,7;95,2;94,9;95,6;90,7;91,0;90,5;96,7;96,2;97,2
2015;91,2;90,5;91,8;90,8;90,0;91,7;95,4;95,1;95,8;92,2;91,4;93,0;95,5;96,3;94,7;77,1;75,7;78,6;90,8;90,0;91,6;95,4;95,2;95,6;92,2;91,5;92,8;95,5;95,8;95,1
2014;90,8;90,1;91,5;90,9;90,2;91,7;95,6;95,4;95,9;89,8;90,2;89,4;96,7;96,3;97,2;74,7;72,4;77,4;90,8;89,9;91,7;95,6;95,4;95,9;89,1;88,9;89,3;96,9;96,3;97,4
2013;89,9;88,3;91,5;89,5;88,0;91,1;94,1;93,3;94,9;89,8;87,3;92,1;94,7;93,6;95,7;75,8;73,1;78,8;89,6;88,1;91,1;94,2;93,4;95,0;89,5;87,0;91,7;94,9;94,0;95,9
2012;89,7;88,4;91,1;89,6;88,3;90,9;94,6;93,8;95,3;88,5;87,1;89,7;95,7;96,2;95,3;75,0;73,3;76,9;89,6;88,2;91,0;94,6;93,8;95,4;88,4;86,8;89,8;95,5;96,1;94,8
2011;89,0;87,5;90,7;88,9;87,1;90,8;94,4;93,4;95,5;87,7;87,6;87,8;95,2;93,6;96,7;71,5;69,2;74,3;88,9;87,1;90,8;94,4;93,3;95,5;87,9;87,6;88,3;94,7;92,8;96,5
2010;88,8;87,4;90,2;88,5;87,3;89,9;94,5;94,6;94,4;89,0;86,7;91,0;93,2;92,3;94,1;69,4;65,7;74,1;88,5;87,3;89,8;94,4;94,5;94,3;89,9;86,5;91,0;93,1;92,3;93,9
2009;88,6;87,5;89,8;88,4;87,0;89,9;94,6;94,4;94,8;88,9;88,6;89,1;95,2;95,6;94,9;68,9;66,2;72,5;88,4;87,0;89,9;94,5;94,4;94,6;88,8;88,5;89,1;95,1;95,7;94,6
2008;87,8;85,8;89,9;87,6;85,5;89,8;93,7;92,6;94,7;87,4;85,4;89,2;95,6;95,4;95,7;68,3;65,6;71,9;87,6;85,5;89,8;93,7;92,6;94,8;87,7;85,6;89,4;95,7;95,5;95,9
2007;87,0;84,9;89,1;86,5;84,2;89,0;93,5;92,7;94,2;87,4;87,0;87,8;97,2;95,8;98,5;65,0;60,5;70,7;86,5;84,2;88,8;93,4;92,7;94,1;87,4;87,0;87,8;96,3;95,8;96,8
